device,size,N,mean_ms,p50_ms,p95_ms,gflops,h2d_ms,compute_ms,d2h_ms,power_w,energy_j,compute_energy_j
cpu,S,1024,8.541025996673852,8.577849977882579,9.406755020609125,251.4315784586417,0,8.541025996673852,0,45,0.3843461698503233,0.3843461698503233
gpu,S,1024,2.1550041927723216,1.7025120069738477,2.397174597484984,996.510194830458,0.9823519934434444,0.4727632001042366,0.6998889992246404,80,0.1724003354217857,0.03782105600833893
cpu,M,4096,430.16958499967586,430.6374999869149,474.2446350050159,319.49946780199156,0,430.16958499967586,0,45,19.357631324985412,19.357631324985412
gpu,M,4096,56.26581348730251,54.414557663025334,71.06655135552865,2442.6724675902146,20.3086429979885,20.949940490722657,15.007229998591356,80,4.501265078984201,1.6759952392578126
cpu,L,8192,3276.9566089991713,3286.867699964205,3367.9333349864464,335.52828400489756,0,3276.9566089991713,0,45,147.4630474049627,147.4630474049627
gpu,L,8192,343.2998453913769,345.8112413545605,353.7377492381027,3202.773442914047,80.50875000015367,185.50336639404296,77.28772899718024,80,27.46398763131015,14.840269311523437
cpu,S,1024,8.323583994060755,8.350899996003136,9.748889959882945,257.9998771601662,0,8.323583994060755,0,45,0.37456127973273395,0.37456127973273395
gpu,S,1024,1.7944808692811056,1.6639439759310335,1.8210959578165784,1196.715821696284,0.8217349951155484,0.37193087846040723,0.6008149957051501,90,0.1615032782352995,0.03347377906143665
cpu,M,4096,412.6285469980212,410.7948500022758,443.13382997061126,333.0815438531913,0,412.6285469980212,0,45,18.568284614910954,18.568284614910954
gpu,M,4096,57.93089119558688,57.197332229232416,65.08008681747596,2372.4639934845327,20.340795000083745,23.735340194702147,13.85475600080099,90,5.213780207602819,2.1361806175231934
cpu,L,8192,3235.9423179994337,3229.468250006903,3387.976129972958,339.78097250378505,0,3235.9423179994337,0,45,145.61740430997452,145.61740430997452
gpu,L,8192,210.27996959670912,209.41991956089623,216.7985082173487,5228.7986815136355,40.353200000245124,114.36112159729004,55.56564799917396,90,18.92519726370382,10.292500943756103
